"","company","mTotal","webTotal"
"1","Adbuddiz",37,NA
"2","Admarvel",41,NA
"3","Admob",47,NA
"4","Adobe",138,767
"5","Amazon",204,1187
"6","Andengine",84,NA
"7","Apache",61,NA
"8","Appboy",35,3
"9","Applovin",420,17
"10","Appnext",25,NA
"11","Appodeal",39,NA
"12","Baidu",26,147
"13","Bitstadium",142,NA
"14","Card.Io",38,NA
"15","Cauley",39,NA
"16","Chartboost",690,NA
"17","Comscore",105,999
"18","Core",41,NA
"19","Crashlytics",627,NA
"20","Daum",55,NA
"21","Fabric",536,NA
"22","Facebook",1274,1898
"23","Flurry",229,NA
"24","Fyber",173,NA
"25","Google",4028,3676
"26","Heyzap",149,NA
"27","Hyprmx",30,NA
"28","Igaworks",36,NA
"29","Inmobi",528,3
"30","Ironsource",144,2
"31","Kiip",19,NA
"32","Kochava",61,NA
"33","Mail.Ru",75,56
"34","Mdotm",24,NA
"35","Milkman",74,NA
"36","Millenialmedia",303,NA
"37","Mixpanel",72,81
"38","Moat",46,NA
"39","Mobfox",32,2
"40","Mobvista",21,NA
"41","Mocomplex",22,NA
"42","Mopub",444,NA
"43","Nativex",34,NA
"44","Neatplug",52,NA
"45","Newrelic",47,NA
"46","Nexage",74,NA
"47","Outfit7",18,NA
"48","Pingstart",28,NA
"49","Playhaven",52,NA
"50","Presage",54,NA
"51","Pubnative",31,NA
"52","Pushwoosh",36,NA
"53","Revmob",39,NA
"54","Rubicon",19,474
"55","Samsung",45,NA
"56","Smaato",46,NA
"57","Smartadserver",33,142
"58","Startapp",159,NA
"59","Swrve",26,NA
"60","Tabtale",23,NA
"61","Tapjoy",262,NA
"62","Tencent",61,26
"63","Tnkfactory",26,NA
"64","Tune",28,NA
"65","Twitter",82,865
"66","Umeng",126,NA
"67","Unity",45,NA
"68","Unitytechnologies",447,NA
"69","Urbanairship",57,NA
"70","Vungle",327,NA
"71","Weibo",37,18
"72","Yandex",64,201
"73","Yume",19,NA
"74","Zendesk",24,NA
